ID,Title,Description,Tech_Specs,Main_Category,Second_Category,Third_Category,Forth_Category
1,Ηλιακό Ντους Κήπου με Θερμόμετρο 18L,"Απολαύστε ένα δροσερό ή ζεστό ντους στον κήπο ή την αυλή σας με το οικολογικό ηλιακό ντους της Parkside. Το ενσωματωμένο δοχείο 18 λίτρων θερμαίνει το νερό αποκλειστικά με την ηλιακή ακτινοβολία, αγγίζοντας θερμοκρασίες έως και 60°C, τις οποίες μπορείτε να ελέγχετε ανά πάσα στιγμή από το ενσωματωμένο θερμόμετρο.

Διαθέτει μεγάλη κεφαλή ντους Ø 15 cm σε κομψή εμφάνιση χρωμίου, μείκτη για εύκολη ρύθμιση της θερμοκρασίας με το ένα χέρι, καθώς και ξεχωριστή, χαμηλή βρύση για το ξέπλυμα των ποδιών. Η κατασκευή του είναι ανθεκτική στις καιρικές συνθήκες και την ακτινοβολία UV, ενώ χωρίζεται σε 2 τμήματα με βιδωτό μηχανισμό (κλείσιμο bayonet) για εύκολη μεταφορά και αποθήκευση. Συνδέεται άμεσα με όλα τα κοινά λάστιχα κήπου χάρη στο σύστημα ταχυσυνδέσμων Parkside.","Χωρητικότητα Δοχείου: 18 Λίτρα (Μέγιστη θερμοκρασία νερού 60°C) | Μέγιστη Πίεση Λειτουργίας: 4 bar | Ύψος Ντουζιέρας: περίπου 226 cm (Διάμετρος κορμού: 11 cm) | Έξυπνες Λειτουργίες: Βαλβίδα αντεπιστροφής (για να μην αδειάζει το νερό αν βγει το λάστιχο) και βαλβίδα εκκένωσης για το άδειασμα τον χειμώνα. | Περιλαμβάνει: Σταθερή βάση (15,5 x 15,5 cm) και όλα τα απαραίτητα εξαρτήματα τοποθέτησης.",Κήπος,Εξοπλισμός Κήπου,Είδη Αυλής,
2,Προέκταση Καλωδίου 10m (Μπαλαντέζα) IP44,"Ανθεκτική και πρακτική μπαλαντέζα (προέκταση καλωδίου) μήκους 10 μέτρων από την Parkside, ιδανική για να φτάνετε με άνεση σε κάθε γωνία του εργαστηρίου, του γκαράζ ή του σπιτιού σας. Διαθέτει φις σύνδεσης με ειδικό λαστιχένιο κάλυμμα για μεγαλύτερη ασφάλεια κατά τη χρήση. Είναι κατάλληλη για εσωτερικούς χώρους, καθώς και για παροδική/προσωρινή χρήση σε εξωτερικούς χώρους.",Μήκος: 10 m | Μέγιστη ισχύς: 3680 W | Προστασία: IP44 (ανθεκτικό σε σταγόνες νερού) | Τύπος φις: Με λαστιχένιο κάλυμμα προστασίας,Ηλεκτρολογικά,,,
3,Βυθιζόμενη Αντλία Αποστράγγισης Καθαρού Νερού PETPK 400 B2 400W,"Αξιόπιστη βυθιζόμενη αντλία αποστράγγισης 400W από την Parkside, ιδανική για την άντληση, εκκένωση και μετάγγιση καθαρού ή ελαφρώς ακάθαρτου νερού (με στερεά σωματίδια έως 5 mm). Διαθέτει ισχυρό κινητήρα μεγάλης διάρκειας ζωής με ενσωματωμένη θερμοπροστασία υπερφόρτισης και κεραμική ροδέλα στεγανοποίησης. Είναι εξοπλισμένη με ρυθμιζόμενο φλοτέρ (φλωτέρ) για αυτόματη ενεργοποίηση/απενεργοποίηση και προστασία από τη λειτουργία χωρίς νερό (εν κενώ). Το ανθεκτικό της περίβλημα περιλαμβάνει εργονομική λαβή για εύκολη μεταφορά, ενώ το σύστημα Quick Connect επιτρέπει τη γρήγορη σύνδεση εύκαμπτων σωλήνων διαφόρων διαστάσεων.","Ισχύς: 400 W | Ικανότητα άντλησης: max. 10000 l/h | Μανομετρικό ύψος: max. 7 m | Βάθος βύθισης: max. 7 m | Μέγιστη διάμετρος στερεών: 5 mm | Θερμοκρασία νερού: max. 35 °C | Μήκος καλωδίου: 10 m | Σύνδεσμοι: Γωνιακός σύνδεσμος G1½"" Quick Connect - Αντάπτορας G1"" για λάστιχα 13mm (1/2""), 19mm (3/4""), 25mm (1""), 38mm (1½"") | Περιλαμβάνει: Σχοινί νάιλον 8m, Γωνιακό σύνδεσμο, Αντάπτορα με βαλβίδα αντεπιστροφής | Σημείωση: Ακατάλληλη για αλμυρό νερό ή συνεχή λειτουργία (π.χ. σιντριβάνια)",Κήπος,Εργαλεία Κήπου,Αντλίες,
4,Ψεκαστήρας Προπίεσης Ώμου 5L,"Πρακτικός ψεκαστήρας προπίεσης 5 λίτρων από την Parkside, ιδανικός για πολλαπλές χρήσεις στον κήπο, το κτήμα ή το νοικοκυριό. Είναι εξαιρετικός για τον ψεκασμό φυτών, τη λίπανση ή την προστασία τους. Προσφέρει άνετη και ευέλικτη εργασία χάρη στη σύνδεση λάστιχου που δεν τσακίζει, την εργονομική λαβή με ενσωματωμένο διακόπτη και το συμπεριλαμβανόμενο λουρί ώμου για εύκολη μεταφορά. Διαθέτει κάνη ψεκασμού από ανθεκτικό fiberglass, βαλβίδα ασφαλείας για την εκτόνωση της πίεσης, καθώς και διαφανές δοχείο με κλίμακα πλήρωσης για να ελέγχετε εύκολα τη στάθμη του υγρού. Η ροή του νερού είναι πλήρως ρυθμιζόμενη, επιτρέποντάς σας να επιλέξετε από λεπτό νεφέλωμα (σπρέι) έως πλήρη ακτίνα ψεκασμού.","Ωφέλιμη χωρητικότητα: 5 L | Πίεση λειτουργίας: max. 2,5 bar | Πίεση θραύσης: 5 bar | Υλικό κάνης: Fiberglas | Προστασία: Βαλβίδα πίεσης ασφαλείας & Ανθεκτικότητα στην ακτινοβολία UV | Περιλαμβάνει: Λουρί ώμων, Φίλτρο πλήρωσης, Εγκοπές στήριξης του σωλήνα",Κήπος,Εργαλεία Κήπου,Ποτιστικά,Ψεκαστήρας
5,Ηλεκτρικό Χορτοκοπτικό Μεσινέζας PERT 550 C6 550W,"Ισχυρό ηλεκτρικό χορτοκοπτικό μεσινέζας (trimmer) 550W από την Parkside, ιδανικό για την περιποίηση του γκαζόν και την ακριβή κοπή χόρτων σε δύσκολα σημεία, γωνίες και άκρες. Διαθέτει ανακλινόμενη κεφαλή κοπής 6 θέσεων και περιστρεφόμενη κοπτική κεφαλή για εξαιρετικά αποτελέσματα στις άκρες των πεζοδρομίων ή των παρτεριών. Η εργασία γίνεται ξεκούραστη και προσαρμοσμένη στο ύψος σας χάρη στη ρυθμιζόμενη τηλεσκοπική μπάρα (έως 29 cm) και τη ρυθμιζόμενη δευτερεύουσα λαβή. Είναι εξοπλισμένο με σύστημα διπλής μεσινέζας με αυτόματη ρύθμιση (tap & go) και προφυλακτήρα με ενσωματωμένο κόφτη νήματος και ανοιγόμενη μπάρα για την προστασία των φυτών σας.","Ισχύς: 550 W | Διάμετρος κοπής: 30 cm | Πάχος μεσινέζας: 1,4 mm | Μήκος μεσινέζας: 2 x 5 m (ανά κεφαλή) | Κεφαλή κοπής: Ανακλινόμενη σε 6 θέσεις & Περιστρεφόμενη | Τηλεσκοπικό κοντάρι: Ρυθμιζόμενο κατά 29 cm | Σύστημα μεσινέζας: Διπλό νήμα με αυτόματη ρύθμιση και αλλαγή καρουλιού χωρίς εργαλεία | Ασφάλεια: Προφυλακτήρας με μπάρα προστασίας φυτών & Μηχανισμός περιέλιξης καλωδίου",Κήπος,Εργαλεία Κήπου,Εργαλεία Ρεύματος,
6,Αυτόνομο Ηλιακό Σετ Ποτίσματος με Σταγόνες,"Έξυπνο και πλήρως αυτόνομο ηλιακό σύστημα ποτίσματος με σταγόνες από την Parkside, ιδανικό για τη φροντίδα έως και 20 φυτών σε ζαρντινιέρες, παρτέρια και γλάστρες όταν λείπετε από το σπίτι. Λειτουργεί χωρίς ρεύμα ή σύνδεση σε βρύση, καθώς χρησιμοποιεί ηλιακό πάνελ και ενσωματωμένο δοχείο νερού με καπάκι για την αποφυγή της εξάτμισης. Η μονάδα ελέγχου διαθέτει 14 προκαθορισμένα προγράμματα ποτίσματος με βολικές ενδείξεις LED, ενώ η απόσταση των ακροφυσίων στάλαξης προσαρμόζεται εύκολα κόβοντας τον εύκαμπτο σωλήνα στα μέτρα σας. Το ηλιακό πάνελ μπορεί να στερεωθεί είτε πάνω στη μονάδα είτε στο έδαφος με το ειδικό πασσαλάκι.","Δυνατότητα ποτίσματος: Έως 20 φυτά | Προγράμματα: 14 επιλεγόμενα χρονικά διαστήματα | Τροφοδοσία: Ηλιακό πάνελ & 3x επαναφορτιζόμενες μπαταρίες NiMH AA 1200 mAh (περιλαμβάνονται για λειτουργία με συννεφιά) | Αδιαβροχοποίηση: IPX4 (προστασία από σταγόνες νερού) | Κατάλληλο για: Γλάστρες, ζαρντινιέρες, μπαλκόνια, θερμοκήπια | Επιπλέον χαρακτηριστικά: Συρόμενη θήκη μικροεξαρτημάτων, Δοχείο νερού με καπάκι, Ένδειξη λειτουργίας LED",Κήπος,Ποτιστικά,Αντλίες,Αυτοματισμοί
7,Ανταλλακτικές Κεφαλές Μεσινέζας (Σετ 3 Τεμαχίων),"Σετ με 3 ανταλλακτικές κεφαλές μεσινέζας (καρούλια) από την Parkside, κατάλληλες για την εύκολη αντικατάσταση και ανανέωση του κοπτικού νήματος στο χορτοκοπτικό σας. Διατίθενται σε δύο διαφορετικές εκδόσεις ανάλογα με το μοντέλο της συσκευής σας: η μία έκδοση είναι συμβατή με τα χορτοκοπτικά PERT 550 και τα επαναφορτιζόμενα PRTA 20-Li, ενώ η δεύτερη (PRTS 4 C1) είναι συμβατή με το ηλεκτρικό χορτοκοπτικό PERT 300. Ιδανικό αξεσουάρ για να έχετε πάντα απόθεμα κατά τη διάρκεια των κηπουρικών σας εργασιών.","Ποσότητα: 3 τεμάχια ανά συσκευασία | Έκδοση 1 (Για PERT 550 / PRTA 20-Li): Πάχος μεσινέζας 1,4 mm - Μήκος 2 x 5 m ανά κεφαλή | Έκδοση 2 (Μοντέλο PRTS 4 C1 για PERT 300): Πάχος μεσινέζας 1,6 mm - Μήκος 1 x 4 m ανά κεφαλή | Χρήση: Ανταλλακτικά αναλώσιμα κοπής",Αναλώσιμα,Αξεσουάρ Κήπου,,
8,Κλαδοτεμαχιστής Ηλεκτρικός PEMH 2400 B2 2400W,"Ισχυρός ηλεκτρικός κλαδοτεμαχιστής 2400W από την Parkside, εξοπλισμένος με κινητήρα Turbo-Power υψηλής απόδοσης, ιδανικός για τον εύκολο τεμαχισμό κλαδιών και θάμνων με πάχος έως 40 mm. Διαθέτει δύο ποιοτικές λεπίδες από ειδικά σκληρυμένο ατσάλι και ηλεκτρονικά ελεγχόμενη ομαλή εκκίνηση (soft start). Για τη μέγιστη ασφάλειά σας, ενσωματώνει προστασία υπερφόρτωσης και ασφάλεια έναντι ακούσιας επανεκκίνησης σε περίπτωση διακοπής ρεύματος. Είναι εξαιρετικά εύκολος στη μεταφορά χάρη στο μικρό του βάρος και το ανθεκτικό πλαίσιο με ρόδες, ενώ περιλαμβάνει πρακτικό αφαιρούμενο σάκο συλλογής 40 λίτρων και ειδικό εξάρτημα ώθησης για τα υπολείμματα.","Ισχύς: 2400 W | Κινητήρας: Turbo-Power με ηλεκτρονικό Soft Start | Μέγιστο πάχος κλαδιού: 40 mm | Χωρητικότητα σάκου: 40 L | Αριθμός στροφών χωρίς φορτίο: 4500 min⁻¹ | Σύστημα κοπής: 2 λεπίδες από ειδικό σκληρυμένο ατσάλι | Ασφάλεια: Προστασία υπερφόρτωσης & Ασφάλεια επανεκκίνησης | Περιλαμβάνει: 1 σάκο συλλογής, 1 εξάρτημα ώθησης με τη βάση του, 1 κλειδί Torx, 1 εξάγωνο κλειδί, Μηχανισμό συγκράτησης καλωδίου",Κήπος,Εργαλεία Κήπου,Εργαλεία Ρεύματος,
9,Επαναφορτιζόμενος Ανιχνευτής Μετάλλων 4V PAMD 4 A1,"Φορητός και επαναφορτιζόμενος ανιχνευτής μετάλλων (pinpointer) 4V από την Parkside, ιδανικός για τον ακριβή εντοπισμό μικρών μεταλλικών αντικειμένων, όπως κοσμήματα, νομίσματα και κλειδιά. Προσφέρει περιμετρική ανίχνευση 360° και μπορεί να χρησιμοποιηθεί με επιτυχία σε άμμο, γρασίδι, χώμα και βράχους, τόσο σε εσωτερικούς όσο και σε εξωτερικούς χώρους. Διαθέτει αδιάβροχο περίβλημα με πιστοποίηση IP68 (ανθεκτικό και στη σκόνη), ενσωματωμένη λάμπα LED για σκοτεινά σημεία και έξυπνο σύστημα συναγερμού με ήχο, φως και δόνηση που εντείνεται όσο πλησιάζετε στο αντικείμενο. Φορτίζει εύκολα μέσω θύρας USB.","Τάση: 4 V | Ανίχνευση: Περιμετρική 360° | Εύρος μέτρησης: Ρυθμιζόμενο σε 3 βαθμίδες (20 / 40 / 60 mm) | Μέγιστο βάθος ανίχνευσης: 60 mm (για ελάχιστο μέγεθος αντικειμένου 25 x 2 mm) | Προστασία: IP68 (Πλήρως αδιάβροχο & ανθεκτικό στη σκόνη) | Ειδοποίηση: Ήχος, οπτικός συναγερμός και δόνηση | Θερμοκρασία λειτουργίας: -10 έως +50 °C | Περιλαμβάνει: 1 σπειροειδή ταινία συγκράτησης με 2 γάντζους ασφαλείας, 1 θήκη ζώνης, 1 καλώδιο φόρτισης USB",Ειδικά Εργαλεία,Εργαλεία Μπαταρίας,4v,
10,Ανδρική Βαμβακερή Μπλούζα με Λογότυπο (T-Shirt),"Κλασικό και άνετο κοντομάνικο μπλουζάκι (T-shirt) με το αυθεντικό λογότυπο της Parkside. Είναι κατασκευασμένο από 100% καθαρό βαμβάκι υψηλής ποιότητας, προσφέροντας εξαιρετική άνεση και απαλή αίσθηση στο δέρμα. Χάρη στο ιδιαίτερα ελαστικό του υλικό, εξασφαλίζει απόλυτη ελευθερία κινήσεων, καθιστώντας το ιδανικό τόσο για τις εργασίες στο εργαστήριο όσο και για τις καθημερινές σας βόλτες. Διαθέτει στρογγυλή λαιμόκοψη και έρχεται σε ίσια, άνετη γραμμή που ταιριάζει σε κάθε σωματότυπο.","Υλικό: 100% Καθαρό βαμβάκι | Διαθέσιμα Χρώματα: Γκρι, Μαύρο, Πράσινο | Διαθέσιμα Μεγέθη: S (44/46) έως XXL (60/62) | Γραμμή: Ίσια / Άνετη (Regular fit) | Χαρακτηριστικά: Στρογγυλή λαιμόκοψη, Μεγάλο λογότυπο PARKSIDE",Ρουχισμός,Ρούχα Εργασίας,,
