ID,Price,Date_of_price,LidlPlus_Price,Price_History,LidlPlus_Price_History,Image_URL,other_Image_URL,Youtube,COUNTRY
1,"79,99",17/5/2026,,79.99_17/5/26_GR,,Ντουζιέρα ηλιακή,,,GREECE
2,12.99,17/5/2026,,12.99_17/5/26_GR,,Προέκταση καλωδίου 10m,,,GREECE
3,29.99,17/5/2026,,29.99_17/5/26_GR,,Βυθιζόμενη αντλία αποστράγγισης καθαρού νερού PETPK 400 B2,,,GREECE
4,11.99,17/5/2026,,11.99_17/5/26_GR,,Ψεκαστήρας 5l,,,GREECE
5,27.99,17/5/2026,,27.99_17/5/26_GR,,Ηλεκτρικό χορτοκοπτικό μεσινέζας PERT 550 C6,,,GREECE
6,39.99,17/5/2026,,39.99_17/5/26_GR,,Ηλιακό σετ ποτίσματος,,,GREECE
7,2.99,17/5/2026,,2.99_17/5/26_GR,,Ανταλλακτικές κεφαλές μεσινέζας,,,GREECE
8,79.99,17/5/2026,,79.99_17/5/26_GR,,Κλαδοτεμαχιστής PEMH 2400 B2,,,GREECE
9,9.99,17/5/2026,,9.99_17/5/26_GR,,Επαναφορτιζόμενος ανιχνευτής μετάλλων 4V PAMD 4 A1,,,GREECE
10,3.99,17/5/2026,,3.99_17/5/26_GR,,Μπλούζα,,,GREECE
11,2.99,17/5/2026,,2.99_17/5/26_GR,,Πάτοι παπουτσιών τζελ,,,GREECE
12,2.99,17/5/2026,,2.99_17/5/26_GR,,Κάλτσες εργασίας,,,GREECE
13,79.99,17/5/2026,69.99,79.99_17/5/26_GR,69.99_17/5/26_GR,Φορητό ψυγείο μπαταρίας PKB 20-Li A2 20V,,,GREECE
14,99,17/5/2026,79,99_17/5/26_GR,79_17/5/26_GR,Επιτραπέζιο δράπανο PTBM 450 A1,,,GREECE
15,29.99,17/5/2026,,29.99_17/5/26_GR,,Επαναφορτιζόμενος γωνιακός τροχός 20V PWSA 20-Li G4,,,GREECE
16,5.99,17/5/2026,,5.99_17/5/26_GR,,Σετ κατσαβίδι με καρυδάκια και bits,Σετ κατσαβίδι καστάνιας με bits διπλής κεφαλής,,GREECE
17,79,17/5/2026,,79_17/5/26_GR,,Σετ κλειδιά με καρυδάκια και bits,,,GREECE
18,21.99,17/5/2026,,21.99_17/5/26_GR,,Συσκευή λείανσης και διάτρησης PFBS 160 D3,,,GREECE
19,179,17/5/2026,159,179_17/5/26_CY,159_17/5/26_CY,PGKGA 40-Li B2,,,CYPRUS
